                  Player POS Team  Age   GP    PTS  FG%  3P%   REB   AST
            Bradley Beal  SG  WAS 29.0 50.0 1160.0 50.6 36.5 196.0 271.0
       Tyrese Haliburton  PG  IND 23.0 56.0 1160.0 49.0 40.0 205.0 585.0
       Russell Westbrook  PG  LAC 34.0 73.0 1159.0 43.6 31.1 423.0 551.0
          Gary Trent Jr.  SG  TOR 24.0 66.0 1148.0 43.3 36.9 173.0 106.0
         Trey Murphy III  SG  NOP 22.0 79.0 1148.0 48.4 40.6 281.0 112.0
         P.J. Washington  PF  CHA 24.0 73.0 1144.0 44.4 34.8 358.0 175.0
           Kevin Huerter  SG  SAC 24.0 75.0 1140.0 48.5 40.2 251.0 221.0
        Kevin Porter Jr.  SG  HOU 22.0 59.0 1130.0 44.2 36.6 314.0 338.0
            O.G. Anunoby  SF  TOR 25.0 67.0 1124.0 47.6 38.7 332.0 131.0
       Jonas Valanciunas   C  NOP 30.0 79.0 1115.0 54.7 34.9 804.0 140.0
          Christian Wood   F  DAL 27.0 67.0 1114.0 51.5 37.6 491.0 121.0
            Myles Turner   C  IND 27.0 62.0 1113.0 54.8 37.3 466.0  89.0
          Brandon Ingram  SF  NOP 25.0 45.0 1112.0 48.4 39.0 246.0 262.0
            Aaron Gordon  PF  DEN 27.0 68.0 1109.0 56.4 34.7 446.0 203.0
          Alperen Sengun   C  HOU 20.0 75.0 1109.0 55.3 33.3 678.0 291.0
           Tobias Harris  PF  PHI 30.0 74.0 1085.0 50.1 38.9 424.0 186.0
      Michael Porter Jr.  SF  DEN 24.0 62.0 1080.0 48.7 41.4 341.0  65.0
              Saddiq Bey  SF  ATL 24.0 77.0 1062.0 42.2 36.1 362.0 118.0
          Jalen Williams   F  OKC 22.0 75.0 1056.0 52.1 35.6 337.0 248.0
           Dillon Brooks  SF  MEM 27.0 73.0 1047.0 39.6 32.6 244.0 189.0
              Malik Monk  SG  SAC 25.0 77.0 1041.0 44.8 35.9 203.0 298.0
       Kenyon Martin Jr.   F  HOU 22.0 82.0 1039.0 56.9 31.5 452.0 123.0
         De'Andre Hunter  SF  ATL 25.0 67.0 1029.0 46.1 35.0 284.0  94.0
           Malik Beasley  SG  LAL 26.0 81.0 1025.0 39.5 35.7 283.0 124.0
           Norman Powell   G  LAC 29.0 60.0 1019.0 47.9 39.7 175.0 109.0
        Tim Hardaway Jr.  SF  DAL 31.0 71.0 1019.0 40.1 38.5 251.0 129.0
           Derrick White  PG  BOS 28.0 82.0 1017.0 46.2 38.1 293.0 321.0
           Luguentz Dort   G  OKC 24.0 74.0 1013.0 38.8 33.0 344.0 154.0
        Jabari Smith Jr.  PF  HOU 19.0 79.0 1010.0 40.8 30.7 569.0 101.0
         Malcolm Brogdon  PG  BOS 30.0 67.0 1000.0 48.4 44.4 280.0 248.0
            Bobby Portis   F  MIL 28.0 70.0  987.0 49.6 37.0 672.0 105.0
           Keegan Murray  SF  SAC 22.0 80.0  976.0 45.3 41.1 371.0  98.0
         Kelly Oubre Jr.  SG  CHA 27.0 48.0  972.0 43.1 31.9 249.0  54.0
           Jarrett Allen   C  CLE 25.0 68.0  969.0 64.4 10.0 666.0 113.0
             Nic Claxton   C  BKN 24.0 76.0  961.0 70.5  0.0 702.0 144.0
         Jaden McDaniels  PF  MIN 22.0 79.0  953.0 51.7 39.8 307.0 148.0
             Rudy Gobert   C  MIN 30.0 70.0  939.0 65.9  0.0 814.0  87.0
            John Collins  PF  ATL 25.0 71.0  931.0 50.8 29.2 462.0  85.0
             Bruce Brown  SF  DEN 26.0 80.0  923.0 48.3 35.8 328.0 268.0
               Max Strus  SG  MIA 27.0 80.0  923.0 41.0 35.0 258.0 171.0
            Caris LeVert  SG  CLE 28.0 74.0  897.0 43.1 39.2 282.0 287.0
            Jakob Poeltl   C  TOR 27.0 72.0  897.0 62.9  0.0 653.0 197.0
               Tre Jones  PG  SAS 23.0 68.0  875.0 45.9 28.5 245.0 448.0
      Wendell Carter Jr.   C  ORL 24.0 57.0  868.0 52.5 35.6 497.0 132.0
           Mason Plumlee   C  LAC 33.0 79.0  857.0 68.0  0.0 700.0 245.0
             Eric Gordon  SG  LAC 34.0 69.0  856.0 44.6 37.1 134.0 183.0
            Kelly Olynyk  PF  UTA 32.0 68.0  847.0 49.9 39.4 420.0 252.0
             LaMelo Ball  PG  CHA 21.0 36.0  838.0 41.1 37.6 231.0 304.0
          Markelle Fultz  PG  ORL 24.0 60.0  837.0 51.4 31.0 234.0 341.0
           Austin Reaves  SG  LAL 24.0 64.0  833.0 52.9 39.8 193.0 215.0
        Patrick Williams  PF  CHI 21.0 82.0  833.0 46.4 41.5 327.0 100.0
         Dennis Schroder  PG  LAL 29.0 66.0  830.0 41.5 32.9 165.0 298.0
Kentavious Caldwell-Pope  SG  DEN 30.0 76.0  822.0 46.2 42.3 208.0 183.0
              Tyus Jones  PG  MEM 26.0 80.0  822.0 43.8 37.1 200.0 417.0
           Corey Kispert  SF  WAS 24.0 74.0  820.0 49.7 42.4 207.0  87.0
              Chris Paul  PG  PHX 37.0 59.0  819.0 44.0 37.5 251.0 524.0
             Ivica Zubac   C  LAC 26.0 76.0  818.0 63.4  0.0 756.0  77.0
          Quentin Grimes  SG  NYK 22.0 71.0  799.0 46.8 38.6 229.0 150.0
             Mike Conley  PG  MIN 35.0 67.0  798.0 42.8 38.5 182.0 450.0
          Onyeka Okongwu  PF  ATL 22.0 80.0  791.0 63.8 30.8 576.0  81.0
          Shaedon Sharpe  SG  POR 19.0 80.0  789.0 47.2 36.0 236.0  94.0
           Killian Hayes  PG  DET 21.0 76.0  786.0 37.7 28.0 221.0 470.0
            Cole Anthony  PG  ORL 22.0 60.0  781.0 45.4 36.4 288.0 235.0
                Naz Reid   C  MIN 23.0 68.0  781.0 53.7 34.6 333.0  77.0
       De'Anthony Melton  SG  PHI 24.0 77.0  780.0 42.5 39.0 312.0 197.0
            Clint Capela   C  ATL 28.0 65.0  779.0 65.3  0.0 717.0  58.0
              Tari Eason   F  HOU 21.0 82.0  760.0 44.8 34.3 496.0  88.0
       Bogdan Bogdanovic  SG  ATL 30.0 54.0  756.0 44.7 40.6 165.0 150.0
         Jalen McDaniels  PF  PHI 25.0 80.0  755.0 45.5 33.2 346.0 130.0
